Name,Site type,Community,Location,lat,lon,lat2,lon2
Crug-y-rhud-hir round barrow,Round barrow,Llanllawddog,"51°55′18″N 4°13′13″W﻿ / ﻿51.9218°N 4.2202°W, SN474271",51.9426937,-4.2455143,51.9426937,-4.2455143
Crugiau Leir Round Barrows,Round barrow,Llanllwni,"52°00′44″N 4°11′06″W﻿ / ﻿52.0123°N 4.185°W, SN501371",52.0322348,-4.2068054,52.0322348,-4.2068054
Derlwyn round barrow cemetery,Round barrow,Llanllwni,"52°02′49″N 4°09′41″W﻿ / ﻿52.0469°N 4.1615°W, SN518409",52.0322348,-4.2068054,52.0322348,-4.2068054
Ring Cairn 50m North of Crug y Biswal,Round cairn,Llanllwni,"52°01′41″N 4°09′44″W﻿ / ﻿52.0281°N 4.1622°W, SN517388",52.0322348,-4.2068054,52.0322348,-4.2068054
Banc Round Barrow,Round barrow,Llanpumsaint,"51°55′15″N 4°19′15″W﻿ / ﻿51.9209°N 4.3209°W, SN404272",51.9401412,-4.3043112,51.9401412,-4.3043112
Bwlch-Bychan Round Barrow,Round barrow,Llanpumsaint,"51°55′30″N 4°19′09″W﻿ / ﻿51.9249°N 4.3191°W, SN406276",51.9401412,-4.3043112,51.9401412,-4.3043112
Crug Gwyn Round Barrow,Round barrow,Llanpumsaint,"51°57′50″N 4°19′46″W﻿ / ﻿51.9638°N 4.3294°W, SN400320",51.9401412,-4.3043112,51.9401412,-4.3043112
Crugiau Fach Round Barrows,Round barrow,Llanpumsaint,"51°58′09″N 4°19′24″W﻿ / ﻿51.9691°N 4.3233°W, SN405326",51.9401412,-4.3043112,51.9401412,-4.3043112
Gilfach-Fach Round Barrow,Round barrow,Llanpumsaint,"51°58′21″N 4°19′09″W﻿ / ﻿51.9725°N 4.3193°W, SN407329",51.9401412,-4.3043112,51.9401412,-4.3043112
Mynydd Llansadwrn ring cairn,Ring cairn,Llansadwrn,"51°59′40″N 3°54′45″W﻿ / ﻿51.9944°N 3.9124°W, SN687346",53.2660136,-4.1589385,53.2660136,-4.1589385
Crug y Bwdran,Round barrow,Llanybydder,"52°02′09″N 4°06′22″W﻿ / ﻿52.0357°N 4.106°W, SN556395",52.0735984,-4.1548796,52.0735984,-4.1548796
Pen Lan round barrow cemetery,Round barrow,Llanybydder,"52°04′15″N 4°07′30″W﻿ / ﻿52.0709°N 4.1251°W, SN544435",52.0735984,-4.1548796,52.0735984,-4.1548796
Three Round Cairns SE of Blaen Carreg,Round cairn,Llanybydder,"52°04′38″N 4°06′45″W﻿ / ﻿52.0771°N 4.1125°W, SN553441",52.0735984,-4.1548796,52.0735984,-4.1548796
Careg-y-Bwci,Round barrow,Llanycrwys,"52°06′46″N 3°58′44″W﻿ / ﻿52.1129°N 3.979°W, SN645479",52.089287,-3.9794127,52.089287,-3.9794127
Mynydd Myddfai ring cairn,Ring cairn,Myddfai,"51°57′23″N 3°43′52″W﻿ / ﻿51.9563°N 3.731°W, SN811300",51.9559783,-3.7880826,51.9559783,-3.7880826
Mynydd Myddfai round barrow,Round barrow,Myddfai,"51°57′09″N 3°44′19″W﻿ / ﻿51.9526°N 3.7386°W, SN806296",51.9559783,-3.7880826,51.9559783,-3.7880826
Mynydd Myddfai round cairn,Round cairn,Myddfai,"51°56′36″N 3°45′01″W﻿ / ﻿51.9433°N 3.7504°W, SN797286",51.9559783,-3.7880826,51.9559783,-3.7880826
"Mynydd Myddfai, ring cairns on W end of",Ring cairn,Myddfai,"51°56′44″N 3°45′17″W﻿ / ﻿51.9455°N 3.7548°W, SN794289",51.9559783,-3.7880826,51.9559783,-3.7880826
Pen Caenewydd ring cairn,Ring cairn,Myddfai,"51°56′47″N 3°45′34″W﻿ / ﻿51.9463°N 3.7594°W, SN791289",51.9559783,-3.7880826,51.9559783,-3.7880826
Tomen y Rhos round cairn,Round cairn,Myddfai,"51°57′15″N 3°44′07″W﻿ / ﻿51.9543°N 3.7352°W, SN808298",51.9559783,-3.7880826,51.9559783,-3.7880826
Burnt Mound West of Derllys Court,Burnt mound,Newchurch and Merthyr,"51°51′22″N 4°23′38″W﻿ / ﻿51.8561°N 4.394°W, SN352202",51.87278405,-4.3590464445892705,51.87278405,-4.3590464445892705
Garn-Fawr Tumuli & Enclosure,Round barrow,Newchurch and Merthyr,"51°53′36″N 4°19′53″W﻿ / ﻿51.8932°N 4.3313°W, SN396241",51.87278405,-4.3590464445892705,51.87278405,-4.3590464445892705
Gelli Dewi Uchaf linear round barrow cemetery,Round barrow,Pencarreg,"52°04′28″N 4°03′22″W﻿ / ﻿52.0745°N 4.0561°W, SN591437",52.0848864,-4.1392383,52.0848864,-4.1392383
Carn Fadog round cairn,Round cairn,Quarter Bach,"51°50′24″N 3°47′20″W﻿ / ﻿51.8399°N 3.7888°W, SN768172",51.81956595,-3.826418877962146,51.81956595,-3.826418877962146
Bryn Helyg Round Barrow,Round barrow,St Clears,"51°48′25″N 4°28′17″W﻿ / ﻿51.807°N 4.4715°W, SN297149",51.8206559,-4.4946965,51.8206559,-4.4946965
Eithin Bach round barrow,Round barrow,St Clears,"51°48′54″N 4°30′13″W﻿ / ﻿51.815°N 4.5036°W, SN275158",51.8206559,-4.4946965,51.8206559,-4.4946965
Round Barrow 330m SW of Mynydd-Uchaf,Round barrow,St Ishmael,"51°45′55″N 4°19′56″W﻿ / ﻿51.7652°N 4.3321°W, SN391099",51.761927799999995,-4.3488059101879895,51.761927799999995,-4.3488059101879895
Crug Ebolion,Round barrow,Trelech,"51°57′28″N 4°31′10″W﻿ / ﻿51.9578°N 4.5194°W, SN269318",51.9448733,-4.5007897,51.9448733,-4.5007897
Crug Glas Round Barrow,Round barrow,Trelech,"51°57′19″N 4°28′44″W﻿ / ﻿51.9554°N 4.4789°W, SN297314",51.9448733,-4.5007897,51.9448733,-4.5007897
Crug y Deyrn Burial Chamber,Round barrow,Trelech,"51°53′51″N 4°28′54″W﻿ / ﻿51.8974°N 4.4817°W, SN293250",51.9448733,-4.5007897,51.9448733,-4.5007897
Garreg Wen round barrow,Round barrow,Trelech,"51°57′39″N 4°29′18″W﻿ / ﻿51.9608°N 4.4882°W, SN291320",51.9448733,-4.5007897,51.9448733,-4.5007897
Trichrug Round Barrows,Round barrow,Trelech,"51°57′25″N 4°28′57″W﻿ / ﻿51.957°N 4.4826°W, SN295316",51.9448733,-4.5007897,51.9448733,-4.5007897
Defended Enclosure 300m W of Pant-glas,Promontory fort - inland,Abergwili,"51°54′09″N 4°13′20″W﻿ / ﻿51.9026°N 4.2222°W, SN472250",51.8655434,-4.2719009,51.8655434,-4.2719009
Merlins Hill Hillfort,Hillfort,Abergwili,"51°52′15″N 4°14′46″W﻿ / ﻿51.8707°N 4.246°W, SN454215",51.8655434,-4.2719009,51.8655434,-4.2719009
Pen y Gaer Hillfort,Hillfort,Abernant,"51°52′58″N 4°23′24″W﻿ / ﻿51.8827°N 4.3901°W, SN355231",51.7192929,-3.4326526,51.7192929,-3.4326526
Defended Enclosure 350m S of Clungwyn,Enclosure - Defensive,Bronwydd,"51°53′14″N 4°18′36″W﻿ / ﻿51.8872°N 4.3101°W, SN411234",51.8996055,-4.2959988,51.8996055,-4.2959988
Y Gaer Defended Enclosure,Enclosure - Defensive,Cefn Sidan,"51°41′27″N 4°14′27″W﻿ / ﻿51.6907°N 4.2409°W, SN452014",51.69832685,-4.364755497543822,51.69832685,-4.364755497543822
Defended Enclosure 300m NW of Closbach,Promontory fort - inland,Cilymaenllwyd,"51°51′52″N 4°41′39″W﻿ / ﻿51.8644°N 4.6943°W, SN145218",51.89414105,-4.69415943642614,51.89414105,-4.69415943642614
Earthworks SE of Clyn-Derwen,Enclosure,Clynderwen,"51°50′15″N 4°43′32″W﻿ / ﻿51.8374°N 4.7255°W, SN123189",51.8416442,-4.7291822,51.8416442,-4.7291822
Llandre Entrenchment,Enclosure,Clynderwen,"51°50′55″N 4°46′04″W﻿ / ﻿51.8486°N 4.7678°W, SN094202",51.8416442,-4.7291822,51.8416442,-4.7291822
Portis-Parc Camp,Enclosure,Clynderwen,"51°52′30″N 4°42′55″W﻿ / ﻿51.875°N 4.7153°W, SN131230",51.8416442,-4.7291822,51.8416442,-4.7291822
Garreg Las Hut Group,Enclosed hut circle,Dyffryn Cennen,"51°50′29″N 3°55′44″W﻿ / ﻿51.8414°N 3.9288°W, SN672176",51.85847015,-3.9750666550597265,51.85847015,-3.9750666550597265
Pen-Coed Camp,Promontory fort - inland,Eglwyscummin,"51°47′10″N 4°32′44″W﻿ / ﻿51.7861°N 4.5456°W, SN245127",51.77547595,-4.5895410408882515,51.77547595,-4.5895410408882515
"The Castle, Woodreefe",Promontory fort - inland,Eglwyscummin,"51°44′45″N 4°37′53″W﻿ / ﻿51.7459°N 4.6314°W, SN184085",51.77547595,-4.5895410408882515,51.77547595,-4.5895410408882515
Top Castle,Ringwork,Eglwyscummin,"51°44′20″N 4°36′58″W﻿ / ﻿51.739°N 4.6162°W, SN194077",51.77547595,-4.5895410408882515,51.77547595,-4.5895410408882515
Llangan Church Cropmark Enclosure,Enclosure,Henllanfallteg,"51°50′12″N 4°38′48″W﻿ / ﻿51.8368°N 4.6468°W, SN177186",51.8489446,-4.670063294005848,51.8489446,-4.670063294005848
Hillslope Enclosure E of Glan y Mor,Enclosure,Laugharne Township,"51°46′25″N 4°27′23″W﻿ / ﻿51.7736°N 4.4563°W, SN306111",51.761517999999995,-4.468816073907798,51.761517999999995,-4.468816073907798
Gelli Diogyn Hillfort,Hillfort,Llanboidy,"51°51′44″N 4°37′03″W﻿ / ﻿51.8623°N 4.6176°W, SN198214",51.8799407,-4.5922363,51.8799407,-4.5922363
Hafod Camp,Promontory fort - inland,Llanboidy,"51°52′22″N 4°35′24″W﻿ / ﻿51.8729°N 4.5899°W, SN218225",51.8799407,-4.5922363,51.8799407,-4.5922363
Pen-Gaer Promontory fort,Promontory fort - inland,Llanboidy,"51°53′10″N 4°38′32″W﻿ / ﻿51.8862°N 4.6421°W, SN182241",51.8799407,-4.5922363,51.8799407,-4.5922363
Castle-Lloyd Camp,Promontory fort - inland,Llanddowror,"51°45′17″N 4°33′00″W﻿ / ﻿51.7547°N 4.5499°W, SN240092",51.8019867,-4.5309541,51.8019867,-4.5309541
Pant-Glas Camp,Promontory fort - inland,Llanddowror,"51°45′49″N 4°31′27″W﻿ / ﻿51.7637°N 4.5243°W, SN258102",51.8019867,-4.5309541,51.8019867,-4.5309541
Parc-Cynog Camp,Promontory fort - inland,Llanddowror,"51°45′35″N 4°31′50″W﻿ / ﻿51.7596°N 4.5305°W, SN254097",51.8019867,-4.5309541,51.8019867,-4.5309541
Ynys-y-Borde Earthwork,Enclosure,Llandovery,"51°59′52″N 3°45′35″W﻿ / ﻿51.9978°N 3.7597°W, SN792347",51.9954586,-3.7977071,51.9954586,-3.7977071
Allt-y-Ferin Mound and Bailey Castle,Hillfort,Llanegwad,"51°53′18″N 4°08′57″W﻿ / ﻿51.8884°N 4.1491°W, SN521232",51.8720033,-4.1522378,51.8720033,-4.1522378
Cefn Pal Defended Enclosure,Enclosure - Defensive,Llanfair-ar-y-Bryn,"52°01′41″N 3°44′48″W﻿ / ﻿52.028°N 3.7467°W, SN802380",52.054253900000006,-3.7341363809399697,52.054253900000006,-3.7341363809399697
Pen y Garn Camp,Hillfort,Llanfihangel Aberbythych,"51°51′05″N 4°04′06″W﻿ / ﻿51.8513°N 4.0684°W, SN576189",51.8435492,-4.057292463382279,51.8435492,-4.057292463382279
Craig Gwrtheyrn,Hillfort,Llanfihangel-ar-Arth,"52°02′19″N 4°17′09″W﻿ / ﻿52.0386°N 4.2858°W, SN433402",52.0319936,-4.2526053,52.0319936,-4.2526053
Dyffryn Camp,Hillfort,Llanfynydd,"51°55′06″N 4°07′23″W﻿ / ﻿51.9184°N 4.1231°W, SN540265",51.9284304,-4.0994896,51.9284304,-4.0994896
Cwmdu Defended Enclosure,Enclosure - Defensive,Llangadog,"51°53′39″N 3°55′04″W﻿ / ﻿51.8941°N 3.9178°W, SN681234",51.9379682,-3.8837633,51.9379682,-3.8837633
Garn Goch Camps,Hillfort,Llangadog,"51°54′06″N 3°54′22″W﻿ / ﻿51.9018°N 3.9061°W, SN689243",51.9379682,-3.8837633,51.9379682,-3.8837633
Llwyn Du Camp,Hillfort,Llangadog,"51°54′12″N 3°55′14″W﻿ / ﻿51.9034°N 3.9205°W, SN679245",51.9379682,-3.8837633,51.9379682,-3.8837633
Grongaer,Hillfort,Llangathen,"51°52′29″N 4°04′24″W﻿ / ﻿51.8747°N 4.0734°W, SN573216",51.8803524,-4.057221,51.8803524,-4.057221
Defended Enclosure 500m NNE of Blaen-maenog,Promontory fort - inland,Llangeler,"51°59′42″N 4°23′11″W﻿ / ﻿51.995°N 4.3864°W, SN362356",52.0286552,-4.3719362,52.0286552,-4.3719362
Panthir Defended Enclosure,Enclosure - Defensive,Llangeler,"51°58′47″N 4°22′20″W﻿ / ﻿51.9798°N 4.3721°W, SN371339",52.0286552,-4.3719362,52.0286552,-4.3719362
Bwlch Seiri Camp,Enclosure,Llangynog,"51°49′35″N 4°25′28″W﻿ / ﻿51.8264°N 4.4244°W, SN330169",52.8246372,-3.4085806,52.8246372,-3.4085806
Castell Pyr,Promontory fort - inland,Llanllwni,"52°02′14″N 4°14′02″W﻿ / ﻿52.0372°N 4.2339°W, SN468399",52.0322348,-4.2068054,52.0322348,-4.2068054
Defended Enclosure 300m W of Pen y Gar,Promontory fort - inland,Llanpumsaint,"51°55′28″N 4°20′12″W﻿ / ﻿51.9244°N 4.3368°W, SN394276",51.9401412,-4.3043112,51.9401412,-4.3043112
Cwm-Bran Camp,Enclosure,Llansadwrn,"51°57′56″N 3°53′07″W﻿ / ﻿51.9655°N 3.8852°W, SN705313",53.2660136,-4.1589385,53.2660136,-4.1589385
Fan Camp,Hillfort,Llansadwrn,"51°57′56″N 3°55′49″W﻿ / ﻿51.9655°N 3.9303°W, SN674314",53.2660136,-4.1589385,53.2660136,-4.1589385
Castle Cogan,Enclosure,Llansteffan,"51°47′57″N 4°25′37″W﻿ / ﻿51.7993°N 4.4269°W, SN327139",51.7724601,-4.3927996,51.7724601,-4.3927996
Pencastell Hillfort,Hillfort,Llanwinio,"51°55′56″N 4°32′11″W﻿ / ﻿51.9321°N 4.5363°W, SN257289",51.9089723,-4.5274092,51.9089723,-4.5274092
Pen y Gaer,Hillfort,Llanybydder,"52°04′10″N 4°09′18″W﻿ / ﻿52.0695°N 4.155°W, SN523434",52.0735984,-4.1548796,52.0735984,-4.1548796
Maes y Castell,Hillfort,Manordeilo and Salem,"51°55′59″N 3°59′31″W﻿ / ﻿51.9331°N 3.992°W, SN631279",51.919400249999995,-3.9846043547828343,51.919400249999995,-3.9846043547828343
Bron-y-Gaer Camp,Hillfort,Meidrim,"51°50′46″N 4°27′34″W﻿ / ﻿51.8462°N 4.4594°W, SN306192",51.8596933,-4.4849007,51.8596933,-4.4849007
Castell-y-Gaer,Enclosure,Newchurch and Merthyr,"51°50′59″N 4°24′19″W﻿ / ﻿51.8497°N 4.4054°W, SN344195",51.87278405,-4.3590464445892705,51.87278405,-4.3590464445892705
Court Wood Enclosure 500m SSW of Pen-Llwyn-Isaf,Enclosure,Pembrey and Burry Port Town,"51°41′42″N 4°16′50″W﻿ / ﻿51.6949°N 4.2805°W, SN424020",51.698773849999995,-4.298642046492214,51.698773849999995,-4.298642046492214
Garreg Lwyd Enclosure 600m SE of Crosslane Cottages,Enclosure,Pembrey and Burry Port Town,"51°41′42″N 4°17′08″W﻿ / ﻿51.6951°N 4.2856°W, SN421020",51.698773849999995,-4.298642046492214,51.698773849999995,-4.298642046492214
Caer Pencarreg,Hillfort,Pencarreg,"52°04′43″N 4°03′35″W﻿ / ﻿52.0785°N 4.0598°W, SN589442",52.0848864,-4.1392383,52.0848864,-4.1392383
Napps Camp,Promontory fort - coastal,Pendine,"51°44′21″N 4°34′03″W﻿ / ﻿51.7392°N 4.5676°W, SN228076",51.7441344,-4.5568034,51.7441344,-4.5568034
Castell Mawr,Enclosure,Trelech,"51°55′12″N 4°30′54″W﻿ / ﻿51.92°N 4.5151°W, SN271275",51.9448733,-4.5007897,51.9448733,-4.5007897
Carmarthen Roman Fort (part of),Fort,Carmarthen,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°51′24″N 4°18′10″W﻿ / ﻿51.8568°N 4.3029°W, SN415200",51.8591257,-4.3115907,51.8591257,-4.3115907
Carmarthen Roman Town (part of),Town,Carmarthen,"51°51′35″N 4°18′09″W﻿ / ﻿51.8597°N 4.3024°W, SN415204",51.8591257,-4.3115907,51.8591257,-4.3115907
Carmarthen Roman Town Defences (part of),Town defences,Carmarthen,"51°51′35″N 4°17′52″W﻿ / ﻿51.8597°N 4.2979°W, SN418203",51.8591257,-4.3115907,51.8591257,-4.3115907
Carmarthen Roman Amphitheatre,Amphitheatre,Carmarthen,"51°51′44″N 4°17′47″W﻿ / ﻿51.8621°N 4.2965°W, SN419206",51.8591257,-4.3115907,51.8591257,-4.3115907
Roman Road c. 250m SSW of Gilwen Farm,Road,Cilycwm,"52°01′49″N 3°49′44″W﻿ / ﻿52.0302°N 3.8288°W, SN746384",52.0450103,-3.8198121,52.0450103,-3.8198121
Roman Road c. 400m S of Benlan Farm,Road,Cilycwm,"52°01′28″N 3°52′13″W﻿ / ﻿52.0245°N 3.8703°W, SN717378",52.0450103,-3.8198121,52.0450103,-3.8198121
Annell Aqueduct (lower section),Aqueduct,Cynwyl Gaeo,"52°02′50″N 3°56′02″W﻿ / ﻿52.0473°N 3.9338°W, SN674405",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Annell Aqueduct (upper section),Aqueduct,Cynwyl Gaeo,"52°03′59″N 3°53′51″W﻿ / ﻿52.0663°N 3.8974°W, SN700425",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Cothi Roman Aqueduct,Aqueduct,Cynwyl Gaeo,"52°04′11″N 3°54′47″W﻿ / ﻿52.0698°N 3.913°W, SN689430",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Dolaucothi Gold Mines,Gold mine,Cynwyl Gaeo,"52°02′38″N 3°57′00″W﻿ / ﻿52.0438°N 3.9501°W, SN663401",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Dolaucothi Mound,Mound,Cynwyl Gaeo,"52°02′43″N 3°57′03″W﻿ / ﻿52.0453°N 3.9509°W, SN663403",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Dolaucothi Roman Aqueduct,Aqueduct,Cynwyl Gaeo,"52°04′25″N 3°54′43″W﻿ / ﻿52.0735°N 3.912°W, SN690434",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
"Dolauhirion, section of Roman road N of",Road,Cynwyl Gaeo,"52°00′44″N 3°48′19″W﻿ / ﻿52.0122°N 3.8054°W, SN761364",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Hut at upper end of Annell Roman Aqueduct,Building (Unclassified),Cynwyl Gaeo,"52°04′02″N 3°53′18″W﻿ / ﻿52.0671°N 3.8884°W, SN706426",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Luentinum Pumpsaint Roman Fort,Fort,Cynwyl Gaeo,"52°02′49″N 3°57′41″W﻿ / ﻿52.047°N 3.9614°W, SN655405",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Roman Water Tank E of Brunant Farm,Water tank,Cynwyl Gaeo,"52°03′18″N 3°55′56″W﻿ / ﻿52.055°N 3.9322°W, SN676413",52.06538105,-3.9539738491660827,52.06538105,-3.9539738491660827
Arosfa Gareg-Llwyd Roman Camp,Marching camp,Llanddeusant,"51°55′20″N 3°44′36″W﻿ / ﻿51.9223°N 3.7432°W, SN802262",53.3394518,-4.4841474,53.3394518,-4.4841474
Cwm-Brwyn Roman Site,Enclosure,Llanddowror,"51°46′50″N 4°31′58″W﻿ / ﻿51.7806°N 4.5329°W, SN253121",51.8019867,-4.5309541,51.8019867,-4.5309541
Dinefwr Park Roman Forts NT,Fort,Llandeilo,"51°53′02″N 4°00′12″W﻿ / ﻿51.8839°N 4.0033°W, SN622224",51.8853935,-3.9925144,51.8853935,-3.9925144
"Alabum, Llandovery Roman Site",Fort,Llandovery,"52°00′08″N 3°47′36″W﻿ / ﻿52.0021°N 3.7933°W, SN769352",51.9954586,-3.7977071,51.9954586,-3.7977071
Abererbwll Roman Fort,Fort,Llanfair-ar-y-bryn,"52°03′36″N 3°40′46″W﻿ / ﻿52.06°N 3.6794°W, SN849415",52.054253900000006,-3.7341363809399697,52.054253900000006,-3.7341363809399697
Roman Road c. 150m NW of Tal-y-Pal,Road,Llanfair-ar-y-bryn,"52°01′29″N 3°45′29″W﻿ / ﻿52.0248°N 3.7581°W, SN794377",52.054253900000006,-3.7341363809399697,52.054253900000006,-3.7341363809399697
Llys-Brychan Roman Villa,Villa,Llangadog,"51°54′45″N 3°53′03″W﻿ / ﻿51.9125°N 3.8843°W, SN704254",51.9379682,-3.8837633,51.9379682,-3.8837633
Enclosure 150m NW of Eithin Man,Enclosed hut circle,Llangynog,"51°49′24″N 4°24′59″W﻿ / ﻿51.8232°N 4.4165°W, SN335166",52.8246372,-3.4085806,52.8246372,-3.4085806
Roman Fortlet 300m SW of Gallt yr Adar Fawr,Fort,Llanwrda,"51°59′40″N 3°52′17″W﻿ / ﻿51.9945°N 3.8713°W, SN716345",51.9680804,-3.8752983,51.9680804,-3.8752983
Hafod Fawr Roman Camp,Practice camp,Myddfai,"51°58′10″N 3°43′48″W﻿ / ﻿51.9694°N 3.7301°W, SN812315",51.9559783,-3.7880826,51.9559783,-3.7880826
Roman Earthwork 540m W of Y Pigwn,Fort,Myddfai,"51°57′56″N 3°43′04″W﻿ / ﻿51.9655°N 3.7179°W, SN820310",51.9559783,-3.7880826,51.9559783,-3.7880826
Y Pigwyn,Marching camp,Myddfai,"51°58′01″N 3°42′26″W﻿ / ﻿51.967°N 3.7071°W, SN828312",51.9559783,-3.7880826,51.9559783,-3.7880826
Roman Road 250m NE of Pwll-y-Hwyaid,Road,Whitland,"51°49′30″N 4°36′40″W﻿ / ﻿51.8251°N 4.611°W, SN201172",51.817433699999995,-4.612938114285713,51.817433699999995,-4.612938114285713
"Inscribed Stone in Llawddog's Churchyard, Cenarth",Inscribed stone,Cenarth,"52°02′41″N 4°31′25″W﻿ / ﻿52.0448°N 4.5237°W, SN270414",52.0447075,-4.5255539,52.0447075,-4.5255539
Llanglydwen Churchyard Cross,Cross,Cilymaenllwyd,"51°54′28″N 4°39′19″W﻿ / ﻿51.9079°N 4.6552°W, SN174265",51.89414105,-4.69415943642614,51.89414105,-4.69415943642614
Clawdd-Mawr,Linear earthwork,Cynwyl Elfed,"51°58′26″N 4°21′48″W﻿ / ﻿51.974°N 4.3633°W, SN377332",51.9229202,-4.3668358,51.9229202,-4.3668358
Inscribed Stone N of Parciau Farmhouse,Inscribed stone,Henllanfallteg,"51°50′51″N 4°38′49″W﻿ / ﻿51.8475°N 4.647°W, SN177198",51.8489446,-4.670063294005848,51.8489446,-4.670063294005848
St Canna's Chair,Inscribed stone,Henllanfallteg,"51°50′15″N 4°38′50″W﻿ / ﻿51.8375°N 4.6473°W, SN177187",51.8489446,-4.670063294005848,51.8489446,-4.670063294005848
Cross-Incised Stones,Cross-marked stone,Llanddowror,"51°48′09″N 4°31′55″W﻿ / ﻿51.8026°N 4.5319°W, SN255145",51.8019867,-4.5309541,51.8019867,-4.5309541
Llansadurnen Cross-Incised Stone & Other Stones,Cross-marked stone,Llanddowror,"51°46′03″N 4°30′32″W﻿ / ﻿51.7675°N 4.509°W, SN269106",51.8019867,-4.5309541,51.8019867,-4.5309541
Cross-Marked Stone at Cilymaenllwyd House,Cross-marked stone,Llanelli Rural,"51°41′29″N 4°12′24″W﻿ / ﻿51.6914°N 4.2067°W, SN475014",51.71248155,-4.157440606755086,51.71248155,-4.157440606755086
"Inscribed Stone & Early Gravestones, Llanfihangel-ar-Arth Church",Inscribed stone,Llanfihangel-ar-Arth,"52°02′10″N 4°15′08″W﻿ / ﻿52.0362°N 4.2522°W, SN456399",52.0319936,-4.2526053,52.0319936,-4.2526053
Cross-Incised Stone in Churchyard,Cross-marked stone,Llanpumsaint,"51°56′15″N 4°18′06″W﻿ / ﻿51.9374°N 4.3018°W, SN418290",51.9401412,-4.3043112,51.9401412,-4.3043112
Tir-y-Dail Motte and Bailey Castle,Motte & Bailey,Ammanford,"51°47′39″N 3°59′47″W﻿ / ﻿51.7942°N 3.9963°W, SN624124",51.7926317,-3.9887731,51.7926317,-3.9887731
Carmarthen Castle,Castle,Carmarthen,"51°51′21″N 4°18′22″W﻿ / ﻿51.8557°N 4.306°W, SN412199",51.8591257,-4.3115907,51.8591257,-4.3115907
"St John's Priory, Carmarthen",Priory,Carmarthen,"51°51′36″N 4°17′51″W﻿ / ﻿51.8601°N 4.2975°W, SN418204",51.8591257,-4.3115907,51.8591257,-4.3115907
Trebersed Moated Site,Moated Site,Carmarthen,"51°51′17″N 4°20′57″W﻿ / ﻿51.8546°N 4.3491°W, SN383199",51.8591257,-4.3115907,51.8591257,-4.3115907
Parc-y-Domen,Motte,Cenarth,"52°02′39″N 4°31′31″W﻿ / ﻿52.0441°N 4.5252°W, SN269414",52.0447075,-4.5255539,52.0447075,-4.5255539
Mynydd Mallaen Long Hut,Rectangular hut,Cilycwm,"52°04′31″N 3°51′34″W﻿ / ﻿52.0753°N 3.8594°W, SN726435",52.0450103,-3.8198121,52.0450103,-3.8198121
"Capel Dewi, Llwyndewi",Chapel,Dyffryn Cennen,"51°50′34″N 3°56′52″W﻿ / ﻿51.8427°N 3.9479°W, SN659178",51.85847015,-3.9750666550597265,51.85847015,-3.9750666550597265
Carreg Cennen Castle,Castle,Dyffryn Cennen,"51°51′16″N 3°56′07″W﻿ / ﻿51.8545°N 3.9352°W, SN668190",51.85847015,-3.9750666550597265,51.85847015,-3.9750666550597265
Deserted Medieval Settlement,Deserted Medieval Village,Eglwyscummin,"51°46′02″N 4°33′58″W﻿ / ﻿51.7671°N 4.5662°W, SN230107",51.77547595,-4.5895410408882515,51.77547595,-4.5895410408882515
Kidwelly Castle,Castle,Kidwelly,"51°44′23″N 4°18′20″W﻿ / ﻿51.7398°N 4.3055°W, SN409070",51.737114950000006,-4.304992344245819,51.737114950000006,-4.304992344245819
Kidwelly Medieval Town (Part of),Town,Kidwelly,"51°44′22″N 4°18′24″W﻿ / ﻿51.7395°N 4.3067°W, SN408070",51.737114950000006,-4.304992344245819,51.737114950000006,-4.304992344245819
Kidwelly Town Gate & Defences,Gatehouse,Kidwelly,"51°44′18″N 4°18′25″W﻿ / ﻿51.7382°N 4.307°W, SN408069",51.737114950000006,-4.304992344245819,51.737114950000006,-4.304992344245819
Laugharne Castle,Castle,Laugharne Township,"51°46′11″N 4°27′44″W﻿ / ﻿51.7696°N 4.4621°W, SN302107",51.761517999999995,-4.468816073907798,51.761517999999995,-4.468816073907798
Lan Enclosure,Enclosure,Llanboidy,"51°51′18″N 4°35′30″W﻿ / ﻿51.855°N 4.5917°W, SN216205",51.8799407,-4.5922363,51.8799407,-4.5922363
Llanboidy Mound & Bailey Castle,Motte & Bailey,Llanboidy,"51°52′41″N 4°35′20″W﻿ / ﻿51.878°N 4.589°W, SN218231",51.8799407,-4.5922363,51.8799407,-4.5922363
Whitland Abbey,Abbey,Llanboidy,"51°50′01″N 4°36′08″W﻿ / ﻿51.8336°N 4.6022°W, SN207182",51.8799407,-4.5922363,51.8799407,-4.5922363
