Name,Site type,Community,Location
Rhiwiau round barrow cemetery,Round barrow,Llansannan,"53°07′57″N 3°34′44″W﻿ / ﻿53.1324°N 3.5788°W, SH944606"
Rhos y Domen Round Barrows,Round barrow,Llansannan,"53°09′47″N 3°38′48″W﻿ / ﻿53.1631°N 3.6468°W, SH900641"
Round Barrow 828m W of Cae-du,Round barrow,Llansannan,"53°09′17″N 3°36′29″W﻿ / ﻿53.1548°N 3.6081°W, SH926632"
Round Cairn 648m NE of Tan-y-Foel,Round cairn,Llansannan,"53°08′45″N 3°37′02″W﻿ / ﻿53.1458°N 3.6173°W, SH919621"
Bryn Derwydd stone circle,Stone circle,Penmaenmawr,"53°15′26″N 3°54′06″W﻿ / ﻿53.2573°N 3.9018°W, SH732750"
Maen Crwn standing stone,Standing stone,Penmaenmawr,"53°15′24″N 3°54′13″W﻿ / ﻿53.2567°N 3.9037°W, SH731749"
Penmaenmawr Stone Circle,Stone circle,Penmaenmawr,"53°15′11″N 3°55′01″W﻿ / ﻿53.253°N 3.917°W, SH722746"
Cefn-y-Gadfa Stone Rows and Cists,Cist burial,Pentrefoelas,"53°04′03″N 3°40′32″W﻿ / ﻿53.0675°N 3.6755°W, SH878535"
Hafod-y-Dre Stone Rows and Cairn,Stone alignment,Pentrefoelas,"53°04′08″N 3°39′54″W﻿ / ﻿53.069°N 3.665°W, SH885537"
Maes Merddyn Ring Cairn,Ring cairn,Pentrefoelas,"53°04′36″N 3°42′16″W﻿ / ﻿53.0767°N 3.7044°W, SH859546"
Moel Rhiwlug Cist Cairn,Kerb cairn,Pentrefoelas,"53°04′57″N 3°40′11″W﻿ / ﻿53.0824°N 3.6696°W, SH882552"
Nant Heilyn Stone Setting,Stone setting,Pentrefoelas,"53°05′07″N 3°36′31″W﻿ / ﻿53.0853°N 3.6086°W, SH923554"
Round Cairn 500m SE of Moel Seisiog,Kerb cairn,Pentrefoelas,"53°05′50″N 3°41′52″W﻿ / ﻿53.0972°N 3.6978°W, SH864569"
Cefn Cyfarwydd Cairn,Round cairn,Trefriw,"53°08′52″N 3°52′01″W﻿ / ﻿53.1477°N 3.867°W, SH752628"
Hwlffordd Round Barrow,Round barrow,Ysbyty Ifan,"53°10′29″N 3°34′09″W﻿ / ﻿53.1747°N 3.5692°W, SH952653"
Castell Cawr Hillfort,Hillfort,Abergele,"53°16′38″N 3°35′54″W﻿ / ﻿53.2772°N 3.5983°W, SH935767"
Early Fields & Dwellings Nr Maen y Bardd,Enclosure,Caerhun,"53°13′38″N 3°53′32″W﻿ / ﻿53.2271°N 3.8921°W, SH737716"
Early Fields and Dwellings near Maen-y-Bardd,Enclosure,Caerhun,"53°13′48″N 3°53′15″W﻿ / ﻿53.2301°N 3.8876°W, SH741720"
Pant y Griafolen Huts and Enclosures,Unenclosed hut circle,Caerhun,"53°10′54″N 3°55′58″W﻿ / ﻿53.1817°N 3.9329°W, SH709667"
Pen y Gaer Camp,Hillfort,Caerhun,"53°12′22″N 3°52′23″W﻿ / ﻿53.206°N 3.873°W, SH750693"
"Settlement, N of Cwm Eigiau",Enclosed hut circle,Caerhun,"53°09′26″N 3°55′49″W﻿ / ﻿53.1572°N 3.9302°W, SH710639"
Hut Circle Settlement at Nant Bochllwyd,Hut circle settlement,Capel Curig,"53°07′13″N 4°00′23″W﻿ / ﻿53.1204°N 4.0063°W, SH658600"
Huts and Enclosures SE of Glan Llugwy,Field system,Capel Curig,"53°07′38″N 3°57′23″W﻿ / ﻿53.1273°N 3.9563°W, SH692606"
Bryn Teg Enclosure,Enclosed hut circle,Cerrigydrudion,"53°01′25″N 3°33′09″W﻿ / ﻿53.0237°N 3.5526°W, SH959485"
Ffridd Brynhelen Enclosures & Fields,Enclosure,Cerrigydrudion,"53°03′21″N 3°32′30″W﻿ / ﻿53.0558°N 3.5418°W, SH967520"
Castell Caer Leion,Hillfort,Conwy,"53°16′57″N 3°51′42″W﻿ / ﻿53.2826°N 3.8617°W, SH759777"
Hut circles NW of Tyn-y-Ddol,Unenclosed hut circle,Dolwyddelan,"53°02′54″N 3°56′51″W﻿ / ﻿53.0484°N 3.9474°W, SH695519"
Caer Bach,Hillfort,Henryd,"53°14′20″N 3°52′59″W﻿ / ﻿53.2389°N 3.8831°W, SH744729"
Hut Circle Settlement at Gwern Engan,Hut circle settlement,Henryd,"53°16′13″N 3°52′05″W﻿ / ﻿53.2704°N 3.8681°W, SH755764"
Hut Groups N of Cerrig y Dinas,Enclosed hut circle,Henryd,"53°15′00″N 3°52′12″W﻿ / ﻿53.2499°N 3.8699°W, SH753741"
Round Hut 70m S of St Celynin's Church,Hut circle settlement,Henryd,"53°14′43″N 3°52′23″W﻿ / ﻿53.2452°N 3.8731°W, SH751736"
Caer Oleu Camp,Hillfort,Llanddoged and Maenan,"53°10′55″N 3°48′27″W﻿ / ﻿53.1819°N 3.8076°W, SH793665"
Pen-y-Corddyn Camp,Hillfort,Llanddulas and Rhyd-y-Foel,"53°16′24″N 3°37′43″W﻿ / ﻿53.2734°N 3.6285°W, SH915764"
Coed Gaer Hut Circle,Unenclosed hut circle,Llandudno,"53°18′42″N 3°48′09″W﻿ / ﻿53.3116°N 3.8024°W, SH800809"
"Hut Circle, Bryniau Poethion, Great Orme",Unenclosed hut circle,Llandudno,"53°19′58″N 3°50′59″W﻿ / ﻿53.3328°N 3.8496°W, SH769833"
"Hut Circle, Hafnant, Great Orme",Unenclosed hut circle,Llandudno,"53°20′21″N 3°51′28″W﻿ / ﻿53.3393°N 3.8579°W, SH763840"
Pen y Dinas Camp,Hillfort,Llandudno,"53°19′47″N 3°50′05″W﻿ / ﻿53.3296°N 3.8348°W, SH779829"
Dinas Camp,Hillfort,Llanfairfechan,"53°14′44″N 3°56′57″W﻿ / ﻿53.2456°N 3.9493°W, SH700738"
"Garreg Fawr Hut Groups, Ancient Fields and Cairns",Enclosed hut circle,Llanfairfechan,"53°14′30″N 3°58′17″W﻿ / ﻿53.2417°N 3.9714°W, SH685734"
Gwern y Plas Ancient Village,Unenclosed hut circle,Llanfairfechan,"53°15′15″N 3°58′11″W﻿ / ﻿53.2541°N 3.9698°W, SH686748"
Hut Circles near Wern Newydd,Unenclosed hut circle,Llanfairfechan,"53°14′51″N 3°59′24″W﻿ / ﻿53.2474°N 3.9899°W, SH673741"
Hut Circles West of Foel Llwyd,Unenclosed hut circle,Llanfairfechan,"53°13′59″N 3°55′44″W﻿ / ﻿53.233°N 3.9289°W, SH713724"
Pont y Teiryd Hut Group and Ancient Fields,Enclosed hut circle,Llanfairfechan,"53°14′34″N 3°57′24″W﻿ / ﻿53.2429°N 3.9566°W, SH695735"
Cae Ddunod Camp,Hillfort,Llanfihangel Glyn Myfyr,"53°03′20″N 3°30′51″W﻿ / ﻿53.0556°N 3.5143°W, SH986520"
Cefn Banog Ancient Village,Hut circle settlement,Llanfihangel Glyn Myfyr,"53°02′51″N 3°27′56″W﻿ / ﻿53.0474°N 3.4656°W, SJ018510"
Pen-y-Gaer Camp (Caer Caradog),Hillfort,Llanfihangel Glyn Myfyr,"53°01′07″N 3°32′22″W﻿ / ﻿53.0186°N 3.5395°W, SH968479"
Tyddyn Tudur Enclosure,Enclosure - Domestic,Llanfihangel Glyn Myfyr,"53°02′02″N 3°31′44″W﻿ / ﻿53.0338°N 3.529°W, SH975495"
Pant-y-Rhedyn Earthwork,Enclosure,Llangernyw,"53°10′53″N 3°44′02″W﻿ / ﻿53.1814°N 3.7339°W, SH842663"
Mynydd y Gaer Camp,Hillfort,Llannefydd,"53°14′00″N 3°32′25″W﻿ / ﻿53.2332°N 3.5404°W, SH972717"
Gwern Engan Concentric Enclosed Hut Circle,Hut circle settlement,Penmaenmawr,"53°16′24″N 3°52′16″W﻿ / ﻿53.2734°N 3.8711°W, SH753767"
Hut Circles at Clip yr Orsedd,Hut circle settlement,Penmaenmawr,"53°15′23″N 3°56′04″W﻿ / ﻿53.2563°N 3.9345°W, SH710750"
Maes-Gwyn Castle Mound,Mound,Pentrefoelas,"53°03′24″N 3°41′50″W﻿ / ﻿53.0568°N 3.6973°W, SH863524"
Bryn Euryn Camp,Hillfort,Rhos-on-Sea,"53°18′08″N 3°45′16″W﻿ / ﻿53.3021°N 3.7544°W, SH831797"
Hut Settlement West of Allt Goch,Unenclosed hut circle,Trefriw,"53°08′27″N 3°52′49″W﻿ / ﻿53.1407°N 3.8803°W, SH743620"
"Hut group SSW of Cefngarw, Ysbyty",Hut circle settlement,Ysbyty Ifan,"52°57′27″N 3°48′12″W﻿ / ﻿52.9574°N 3.8033°W, SH789415"
Kanovium Roman Site,Fort,Caerhun,"53°13′01″N 3°49′59″W﻿ / ﻿53.217°N 3.833°W, SH777704"
Caer Llugwy (Bryn-y-Gefeiliau Roman Fort),Fort,Capel Curig,"53°05′50″N 3°52′27″W﻿ / ﻿53.0972°N 3.8743°W, SH746572"
Roman Road N of Llannerch Fedw,Road,Llanfairfechan,"53°13′46″N 3°56′19″W﻿ / ﻿53.2294°N 3.9386°W, SH706720"
"St George's Well, Abergele",Holy Well,Abergele,"53°16′05″N 3°32′10″W﻿ / ﻿53.2681°N 3.5362°W, SH976756"
"Six Inscribed Stones in St Tudclud's Church, Penmachno",Inscribed stone,Bro Machno,"53°02′20″N 3°48′22″W﻿ / ﻿53.0388°N 3.8061°W, SH789506"
Group of Four Inscribed Stones in Gwytherin Churchyard,Inscribed stone,Llangernyw,"53°08′19″N 3°40′50″W﻿ / ﻿53.1385°N 3.6806°W, SH876614"
"Two Cross-Incised Stones in St Digain's Churchyard, Llangernyw",Cross-marked stone,Llangernyw,"53°11′32″N 3°41′07″W﻿ / ﻿53.1921°N 3.6852°W, SH875674"
Brohomalgi Stone (Now In Veolas Hall),Inscribed stone,Pentrefoelas,"53°02′55″N 3°43′00″W﻿ / ﻿53.0485°N 3.7166°W, SH850515"
Dol Tre Beddau: Site of Discovery of Brohomaglus Stone,Inscribed stone,Pentrefoelas,"53°02′47″N 3°42′13″W﻿ / ﻿53.0465°N 3.7037°W, SH858512"
"The Mount, Abergele",Mound,Abergele,"53°17′07″N 3°34′48″W﻿ / ﻿53.2852°N 3.58°W, SH947776"
Pont y Pair,Bridge,Betws-y-Coed,"53°05′38″N 3°48′22″W﻿ / ﻿53.0939°N 3.806°W, SH791567"
Maen Sertan Boundary Stones,Boundary stone,Bro Garmon,"53°05′00″N 3°43′54″W﻿ / ﻿53.0832°N 3.7318°W, SH841554"
Bryn Castell,Motte,Caerhun,"53°13′49″N 3°49′16″W﻿ / ﻿53.2303°N 3.8211°W, SH785719"
Clogwyn yr Eryr Deserted Rural Settlement,Rectangular hut,Caerhun,"53°10′52″N 3°54′40″W﻿ / ﻿53.1811°N 3.9112°W, SH723665"
Hafod y Garreg Deserted Rural Settlement,Rectangular hut,Caerhun,"53°11′15″N 3°53′41″W﻿ / ﻿53.1876°N 3.8948°W, SH734672"
Ty'n y Ddol Medieval Long Hut,Platform house,Capel Curig,"53°02′39″N 3°56′21″W﻿ / ﻿53.0441°N 3.9393°W, SH700514"
Conwy Castle,Castle,Conwy,"53°16′48″N 3°49′32″W﻿ / ﻿53.2801°N 3.8256°W, SH783774"
Conwy Town Walls,Town Wall,Conwy,"53°16′54″N 3°49′52″W﻿ / ﻿53.2817°N 3.8312°W, SH780776"
Deganwy Castle,Castle,Conwy,"53°17′52″N 3°49′43″W﻿ / ﻿53.2978°N 3.8285°W, SH782794"
"Site of Medieval King's Hall and Wardrobe, Rosehill Street",Building (Unclassified),Conwy,"53°16′48″N 3°49′42″W﻿ / ﻿53.2801°N 3.8282°W, SH782774"
Dolwyddelan Castle,Castle,Dolwyddelan,"53°03′11″N 3°54′30″W﻿ / ﻿53.0531°N 3.9084°W, SH721523"
Tomen y Castell,Motte,Dolwyddelan,"53°03′05″N 3°54′14″W﻿ / ﻿53.0515°N 3.9039°W, SH724521"
"Site of Aberconwy Abbey, Maenan",Abbey,Llanddoged and Maenan,"53°10′28″N 3°48′44″W﻿ / ﻿53.1744°N 3.8123°W, SH789656"
Gogarth Grange,Bishop's Palace,Llandudno,"53°19′43″N 3°51′45″W﻿ / ﻿53.3285°N 3.8624°W, SH760829"
Cae'r Haidd Deserted Rural Settlement,Platform house,Llanfairfechan,"53°14′20″N 3°58′42″W﻿ / ﻿53.239°N 3.9783°W, SH680732"
Hendre-Isaf Castle Mound,Motte,Llangernyw,"53°12′16″N 3°41′13″W﻿ / ﻿53.2045°N 3.687°W, SH874688"
"St. Gwenfrewi's Chapel, Gwytherin",Chapel,Llangernyw,"53°08′17″N 3°40′50″W﻿ / ﻿53.138°N 3.6806°W, SH877614"
Maesmor Hall Castle Mound,Motte,Llangwm,"52°59′22″N 3°28′19″W﻿ / ﻿52.9895°N 3.4719°W, SJ012445"
Nant y Foel Long Hut,Deserted Rural Settlement,Pentrefoelas,"53°05′02″N 3°40′49″W﻿ / ﻿53.0839°N 3.6804°W, SH875553"
Y Foelas Castle Mound,Motte & Bailey,Pentrefoelas,"53°03′19″N 3°41′14″W﻿ / ﻿53.0554°N 3.6872°W, SH870522"
"Llys Euryn Medieval House, Llandrillo-yn-Rhos",House (domestic),Rhos-on-Sea,"53°18′22″N 3°45′10″W﻿ / ﻿53.3061°N 3.7529°W, SH832802"
Tyddyn Wilym Deserted Rural Settlement,Deserted Rural Settlement,Trefriw,"53°10′20″N 3°50′28″W﻿ / ﻿53.1722°N 3.8412°W, SH770654"
Ffridd-y-Fedw Platform House,Platform house,Ysbyty Ifan,"52°59′24″N 3°45′03″W﻿ / ﻿52.9899°N 3.7508°W, SH825450"
Afon Llugwy Lead Mill,Mill,Betws-y-Coed,"53°06′06″N 3°50′08″W﻿ / ﻿53.1017°N 3.8356°W, SH772576"
Coed Mawr Pool Lead Mine,Lead mine,Betws-y-Coed,"53°06′33″N 3°49′21″W﻿ / ﻿53.1091°N 3.8224°W, SH781584"
Hafodlas Slate Quarry Mills and Associated Features,Incline Drumhouse,Betws-y-Coed,"53°05′20″N 3°49′26″W﻿ / ﻿53.0889°N 3.8239°W, SH779561"
Pont Rhyd-Llanfair,Bridge,Bro Garmon,"53°03′23″N 3°45′01″W﻿ / ﻿53.0563°N 3.7503°W, SH827524"
Barn N of Pen-y-Bryn,Barn,Bro Machno,"53°02′11″N 3°48′38″W﻿ / ﻿53.0363°N 3.8105°W, SH786503"
Cwm Penmachno Slate Quarry,Incline,Bro Machno,"53°00′17″N 3°51′45″W﻿ / ﻿53.0048°N 3.8625°W, SH751468"
Fedw-Deg Old House,House (domestic),Bro Machno,"53°03′47″N 3°48′31″W﻿ / ﻿53.063°N 3.8085°W, SH789532"
Roman Bridge Penmachno,Bridge,Bro Machno,"53°03′37″N 3°46′55″W﻿ / ﻿53.0602°N 3.782°W, SH806529"
Bryniau Tower,Tower,Conwy,"53°18′21″N 3°49′26″W﻿ / ﻿53.3057°N 3.824°W, SH785803"
Plas Mawr,House (domestic),Conwy,"53°16′52″N 3°49′48″W﻿ / ﻿53.2812°N 3.83°W, SH780775"
Chapel at Penrhyn Old Hall,Chapel,Llandudno,"53°19′05″N 3°46′43″W﻿ / ﻿53.3181°N 3.7785°W, SH816816"
The Holyhead Road: Ty Nant section,Road,Llangwm,"52°59′12″N 3°30′02″W﻿ / ﻿52.9868°N 3.5005°W, SH993443"
Llanrwst Bridge,Bridge,Llanrwst,"53°08′13″N 3°47′51″W﻿ / ﻿53.137°N 3.7975°W, SH798614"
Pont Newydd (Northern),Bridge,Pentrefoelas,"53°02′48″N 3°41′59″W﻿ / ﻿53.0468°N 3.6997°W, SH861512"
Ffridd Uchaf Deserted Rural Settlement,Deserted Rural Settlement,Trefriw,"53°10′03″N 3°50′33″W﻿ / ﻿53.1674°N 3.8426°W, SH769649"
Gwydir Uchaf Chapel,Chapel,Trefriw,"53°07′55″N 3°48′10″W﻿ / ﻿53.1319°N 3.8028°W, SH794609"
Hafna Lead Mine Mill,Lead mine,Trefriw,"53°07′27″N 3°49′25″W﻿ / ﻿53.1242°N 3.8236°W, SH780601"
Klondyke Lead Mill,Lead mine,Trefriw,"53°08′33″N 3°50′52″W﻿ / ﻿53.1424°N 3.8478°W, SH764621"
Vale of Conwy Lead Mine,Lead mine,Trefriw,"53°07′19″N 3°49′28″W﻿ / ﻿53.1219°N 3.8245°W, SH780598"
Pont Newydd (Southern),Bridge,Ysbyty Ifan,"53°02′47″N 3°41′58″W﻿ / ﻿53.0464°N 3.6995°W, SH861512"
Former Royal Artillery Coast Artillery School,Training Camp,Llandudno,"53°19′58″N 3°52′33″W﻿ / ﻿53.3327°N 3.8758°W, SH751833"
Nant Ffrancon Anti-invasion Defences,Anti-invasion defence site,Capel Curig,"53°07′31″N 4°01′20″W﻿ / ﻿53.1252°N 4.0222°W, SH647605"
Bontnewydd Cave,Cave,Cefnmeiriadog,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}53°13′38″N 3°28′35″W﻿ / ﻿53.2271°N 3.4763°W, SJ015710"
Cefn Caves,Cave,Cefnmeiriadog,"53°13′22″N 3°28′07″W﻿ / ﻿53.2227°N 3.4685°W, SJ020705"
Cae Gwyn Cave,Cave,Tremeirchion,"53°14′29″N 3°22′20″W﻿ / ﻿53.2414°N 3.3722°W, SJ085724"
Ffynnon Beuno Cave,Cave,Tremeirchion,"53°14′28″N 3°22′19″W﻿ / ﻿53.241°N 3.3719°W, SJ085724"
Branas-Uchaf Round Barrow,Chambered tomb,Llandrillo,"52°55′34″N 3°28′20″W﻿ / ﻿52.926°N 3.4723°W, SJ011375"
Tyddyn Bleiddyn Burial Chamber,Chambered long cairn,Cefnmeiriadog,"53°14′24″N 3°29′20″W﻿ / ﻿53.2399°N 3.4889°W, SJ007724"
Tan-y-Coed Burial Chamber,Chambered long cairn,Llandrillo,"52°56′44″N 3°25′08″W﻿ / ﻿52.9455°N 3.4188°W, SJ047396"
Round Barrow 135m SE of Lodge Farm,Round barrow,Bodfari,"53°14′15″N 3°20′32″W﻿ / ﻿53.2375°N 3.3423°W, SJ105720"
Gribin Oernant Cairn,Round barrow,Bryneglwys,"53°00′44″N 3°13′41″W﻿ / ﻿53.0122°N 3.2281°W, SJ177468"
Pant y Maen Round Barrow,Round barrow,Bryneglwys,"53°01′15″N 3°15′21″W﻿ / ﻿53.0207°N 3.2558°W, SJ158477"
Rhos Lydan Round Barrows,Round barrow,Bryneglwys,"53°02′12″N 3°15′07″W﻿ / ﻿53.0367°N 3.2519°W, SJ161495"
Ty Mawr Round Barrows,Round barrow,Bryneglwys,"53°01′29″N 3°15′11″W﻿ / ﻿53.0248°N 3.2531°W, SJ160482"
Bedd Emlyn,Round barrow,Clocaenog,"53°04′05″N 3°24′56″W﻿ / ﻿53.068°N 3.4155°W, SJ052532"
Bryn Beddau Round Barrows,Round barrow,Clocaenog,"53°03′53″N 3°25′13″W﻿ / ﻿53.0648°N 3.4203°W, SJ049528"
Bryn Beddau Stone Circle,Stone circle,Clocaenog,"53°03′43″N 3°25′24″W﻿ / ﻿53.0619°N 3.4232°W, SJ047525"
Maen Llwyd Standing Stone,Standing stone,Clocaenog,"53°03′36″N 3°25′19″W﻿ / ﻿53.0601°N 3.4219°W, SJ048523"
Plas Perthi Burial Mound,Round barrow,Clocaenog,"53°04′37″N 3°21′00″W﻿ / ﻿53.0769°N 3.3499°W, SJ096541"
Rug Mound,Round barrow,Corwen,"52°59′02″N 3°24′27″W﻿ / ﻿52.9839°N 3.4075°W, SJ056438"
Two Cairns North of Plasnewydd,Round cairn,Corwen,"52°57′42″N 3°17′41″W﻿ / ﻿52.9616°N 3.2947°W, SJ131412"
Wilderness Round Barrows,Round barrow,Corwen,"52°57′14″N 3°13′47″W﻿ / ﻿52.9539°N 3.2298°W, SJ174403"
Round Barrow 400m SE of Tai Marian,Round barrow,Cwm,"53°17′01″N 3°23′15″W﻿ / ﻿53.2836°N 3.3876°W, SJ075771"
Three Round Barrows in Cwm Wood,Round barrow,Cwm,"53°16′43″N 3°23′12″W﻿ / ﻿53.2785°N 3.3866°W, SJ076766"
Capel Hiraethog Earth Circles,Ring cairn,Cyffylliog,"53°04′48″N 3°26′25″W﻿ / ﻿53.0801°N 3.4402°W, SJ036546"
Capel Hiraethog Round Barrow,Round barrow,Cyffylliog,"53°04′44″N 3°26′44″W﻿ / ﻿53.0789°N 3.4455°W, SJ032544"
Moel yr Henfaes Cairn Cemetery,Round cairn,Cynwyd,"52°56′34″N 3°23′22″W﻿ / ﻿52.9428°N 3.3894°W, SJ067392"
Moel yr Henfaes Ring Cairn,Ring cairn,Cynwyd,"52°56′16″N 3°22′41″W﻿ / ﻿52.9377°N 3.3781°W, SJ074387"
Nant Croes-y-wernen Stone Circle,Stone circle,Cynwyd,"52°56′29″N 3°20′37″W﻿ / ﻿52.9414°N 3.3435°W, SJ098390"
Garw Fynydd Cairn,Platform Cairn,Derwen,"53°02′52″N 3°24′48″W﻿ / ﻿53.0479°N 3.4134°W, SJ053510"
Coed Plas Round Barrow,Round barrow,Henllan,"53°12′24″N 3°26′59″W﻿ / ﻿53.2067°N 3.4498°W, SJ032687"
Old Foxhall Round Barrow,Round barrow,Henllan,"53°11′41″N 3°26′53″W﻿ / ﻿53.1948°N 3.4481°W, SJ033673"
Plas Heaton Round Barrow,Round barrow,Henllan,"53°12′20″N 3°26′59″W﻿ / ﻿53.2055°N 3.4496°W, SJ032685"
Plas-Meifod Round Barrow,Round barrow,Henllan,"53°12′07″N 3°27′26″W﻿ / ﻿53.2019°N 3.4573°W, SJ027681"
Moel y Plas Round Barrow,Round barrow,Llanarmon-yn-Ial,"53°05′23″N 3°14′25″W﻿ / ﻿53.0897°N 3.2404°W, SJ170554"
Tyn-y-Mynydd Round Barrow,Round barrow,Llanarmon-yn-Ial,"53°05′36″N 3°14′37″W﻿ / ﻿53.0934°N 3.2435°W, SJ168558"
Moel Eithinen Round Barrow,Round barrow,Llanbedr Dyffryn Clwyd,"53°07′21″N 3°15′34″W﻿ / ﻿53.1224°N 3.2595°W, SJ158591"
Moel Gyw Round Barrow,Round barrow,Llanbedr Dyffryn Clwyd,"53°06′31″N 3°14′21″W﻿ / ﻿53.1086°N 3.2391°W, SJ171575"
Mynydd Cricor Barrow,Round barrow,Llanbedr Dyffryn Clwyd,"53°02′37″N 3°16′26″W﻿ / ﻿53.0435°N 3.2738°W, SJ146503"
Abersychnant Cairn,Round barrow,Llandegla,"53°02′19″N 3°08′35″W﻿ / ﻿53.0385°N 3.143°W, SJ234496"
Cas-Gan-Ditw Round Barrow,Round barrow,Llandegla,"53°03′49″N 3°08′49″W﻿ / ﻿53.0637°N 3.1469°W, SJ232524"
Cefn y Cist Cairn,Round barrow,Llandegla,"53°01′47″N 3°08′12″W﻿ / ﻿53.0297°N 3.1366°W, SJ238486"
Cefn y Gader Round Barrows,Round barrow,Llandegla,"53°02′21″N 3°08′18″W﻿ / ﻿53.0393°N 3.1384°W, SJ237497"
Craig-y-Forwyn Cairn,Round cairn,Llandegla,"53°01′29″N 3°08′20″W﻿ / ﻿53.0246°N 3.139°W, SJ236480"
Cryn-y-Brain Round Barrow,Round barrow,Llandegla,"53°01′49″N 3°09′08″W﻿ / ﻿53.0303°N 3.1523°W, SJ228487"
Cyrn y Brain Round Barrows,Round barrow,Llandegla,"53°02′18″N 3°10′29″W﻿ / ﻿53.0384°N 3.1747°W, SJ213496"
Llyn Cyfnwy Round Barrow,Round barrow,Llandegla,"53°05′03″N 3°10′28″W﻿ / ﻿53.0842°N 3.1745°W, SJ214547"
Maes Maelor Round Barrow,Round barrow,Llandegla,"53°03′55″N 3°08′48″W﻿ / ﻿53.0653°N 3.1466°W, SJ232526"
Rhos-Ddigre Caves,Cave,Llandegla,"53°04′25″N 3°12′49″W﻿ / ﻿53.0737°N 3.2135°W, SJ187536"
Blaen Llynor Round Cairn,Round cairn,Llandrillo,"52°55′13″N 3°21′44″W﻿ / ﻿52.9203°N 3.3622°W, SJ085367"
Cader Bronwen Round Barrow,Round barrow,Llandrillo,"52°54′05″N 3°22′22″W﻿ / ﻿52.9014°N 3.3729°W, SJ077346"
"Cairns, Settlements & Field Systems of Prehistoric & Medieval date at Pennant above Nant Esgeiriau",Ring cairn,Llandrillo,"52°53′18″N 3°25′03″W﻿ / ﻿52.8884°N 3.4175°W, SJ047332"
Carnedd y Ci Barrow,Round cairn,Llandrillo,"52°53′40″N 3°24′18″W﻿ / ﻿52.8945°N 3.405°W, SJ055339"
Cefn Penagored Cairn and Ring Cairn,Kerb cairn,Llandrillo,"52°53′29″N 3°25′47″W﻿ / ﻿52.8914°N 3.4298°W, SJ038336"
Cefn Penagored Ridge Cairns,Kerb cairn,Llandrillo,"52°53′28″N 3°25′36″W﻿ / ﻿52.891°N 3.4267°W, SJ041335"
Moel Sych Round Barrow,Round barrow,Llandrillo,"52°52′34″N 3°23′19″W﻿ / ﻿52.8761°N 3.3887°W, SJ066318"
Moel Ty-Uchaf Circles,Stone circle,Llandrillo,"52°55′24″N 3°24′18″W﻿ / ﻿52.9232°N 3.4051°W, SJ056371"
Nant Esgeiriau Cairn,Round cairn,Llandrillo,"52°53′08″N 3°25′20″W﻿ / ﻿52.8856°N 3.4221°W, SJ044329"
Nant Gwyn Round Cairns,Round cairn,Llandrillo,"52°55′24″N 3°22′25″W﻿ / ﻿52.9234°N 3.3737°W, SJ077371"
Pennant Cairns,Round barrow,Llandrillo,"52°53′20″N 3°25′27″W﻿ / ﻿52.889°N 3.4241°W, SJ042333"
Ring Cairn E of Ffridd Camen,Ring cairn,Llandrillo,"52°53′57″N 3°25′03″W﻿ / ﻿52.8992°N 3.4175°W, SJ047344"
Two Ring Cairns West of Cwm Tywyll,Ring cairn,Llandrillo,"52°53′38″N 3°25′37″W﻿ / ﻿52.8939°N 3.4269°W, SJ041338"
Tyfos Stone Circle,Stone circle,Llandrillo,"52°56′15″N 3°26′49″W﻿ / ﻿52.9374°N 3.447°W, SJ028388"
Tom Dongen Round Barrow,Round barrow,Llanelidan,"53°01′53″N 3°19′22″W﻿ / ﻿53.0315°N 3.3229°W, SJ113490"
Cefn Coch Tumulus,Round barrow,Llanfair Dyffryn Clwyd,"53°06′08″N 3°17′02″W﻿ / ﻿53.1022°N 3.2839°W, SJ141568"
Moel Llech Round Barrow,Round barrow,Llanfair Dyffryn Clwyd,"53°05′37″N 3°14′38″W﻿ / ﻿53.0935°N 3.2438°W, SJ168558"
Ffynnon-Las Wood Round Barrow,Round barrow,Llangollen,"52°57′37″N 3°11′56″W﻿ / ﻿52.9603°N 3.1988°W, SJ195409"
Circular Platforms North West of Hen Ddinbych,Platform Cairn,Llanrhaeadr-yng-Nghinmeirch,"53°05′48″N 3°30′37″W﻿ / ﻿53.0967°N 3.5102°W, SH989565"
Twr yr Hill Round Barrow,Round barrow,Llanrhaeadr-yng-Nghinmeirch,"53°06′42″N 3°28′44″W﻿ / ﻿53.1117°N 3.479°W, SJ010581"
Craig Arthur Kerb Cairn,Kerb cairn,Llantysilio,"53°00′55″N 3°09′33″W﻿ / ﻿53.0153°N 3.1593°W, SJ223470"
Creigiau Eglwyseg Cairn,Round cairn,Llantysilio,"52°59′31″N 3°09′39″W﻿ / ﻿52.992°N 3.1608°W, SJ221444"
Creigiau Eglwyseg Round Barrow,Round barrow,Llantysilio,"52°59′56″N 3°08′59″W﻿ / ﻿52.9988°N 3.1496°W, SJ229452"
Creigiau Eglwyseg Round Barrows & Earth Circle,Round barrow,Llantysilio,"52°59′46″N 3°09′35″W﻿ / ﻿52.9962°N 3.1598°W, SJ222449"
